home_team	season	wins	losses	ties	points_for	points_against	pre_wins	pre_losses	pre_ties	pre_points_for	pre_points_against
NO	2010	11	5	0	384	307	2	2	0	122	95
NO	2011	13	3	0	547	339	2	2	0	87	82
NO	2012	7	9	0	461	454	1	3	0	70	71
NYG	2002	10	6	0	320	279	2	2	0	66	83
NYG	2003	4	12	0	243	387	1	3	0	60	85
NYG	2004	6	10	0	303	347	1	3	0	81	95
NYG	2005	11	5	0	422	314	3	1	0	83	55
NYG	2006	8	8	0	355	362	4	0	0	78	46
NYG	2007	10	6	0	373	351	1	3	0	66	83
NYG	2008	12	4	0	427	294	2	2	0	73	71
NYG	2009	8	8	0	402	427	1	3	0	79	99
NYG	2010	10	6	0	394	347	2	2	0	78	81
NYG	2011	9	7	0	394	400	2	2	0	72	67
NYG	2012	9	7	0	429	344	2	2	0	80	58
NYJ	2002	9	7	0	359	336	4	0	0	101	45
NYJ	2003	6	10	0	283	299	3	1	0	77	58
NYJ	2004	10	6	0	333	261	3	1	0	89	67
NYJ	2005	4	12	0	240	355	3	1	0	89	53
NYJ	2006	10	6	0	316	295	2	2	0	57	60
NYJ	2007	4	12	0	268	355	3	1	0	84	76
NYJ	2008	9	7	0	405	356	3	1	0	71	60
NYJ	2009	9	7	0	348	236	2	2	0	108	99
NYJ	2010	11	5	0	367	304	2	2	0	57	67
NYJ	2011	8	8	0	377	363	2	2	0	74	54
NYJ	2012	6	10	0	281	375	0	4	0	31	88
OAK	2002	11	5	0	450	304	2	2	0	68	57
OAK	2003	4	12	0	270	379	1	3	0	36	93
OAK	2004	5	11	0	320	442	3	1	0	98	91
OAK	2005	4	12	0	290	383	1	3	0	59	63
OAK	2006	2	14	0	168	332	3	1	0	67	53
OAK	2007	4	12	0	283	398	2	2	0	82	78
OAK	2008	5	11	0	263	388	1	3	0	50	70
OAK	2009	5	11	0	197	379	1	3	0	79	107
OAK	2010	8	8	0	410	371	3	1	0	100	78
OAK	2011	8	8	0	359	433	0	4	0	44	101
OAK	2012	4	12	0	290	443	1	3	0	61	75
