team_id,season,games,offensive_plays,fumbles_lost,plays_per_fumble_lost
BAL,2013,16,1090.,6.,181.667
NYG,2012,16,968.,6.,161.333
DEN,2014,16,1067.,5.,213.4
NO,2011,16,1117.,5.,223.4
ARI,2014,16,993.,5.,198.6
SF,2011,16,993.,5.,198.6
NO,2012,16,1067.,5.,213.4
SD,2014,16,1009.,5.,201.8
NE,2010,16,986.,5.,197.2
BAL,2012,16,1042.,5.,208.4
BUF,2011,16,992.,5.,198.4
NE,2011,16,1082.,5.,216.4
ATL,2012,16,1021.,4.,255.25
IND,2013,16,1023.,4.,255.75
HOU,2012,16,1090.,4.,272.5
NE,2014,16,1073.,4.,268.25
MIN,2014,16,981.,2.,490.5
